time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2
1598141700,11661.19,11661.19,11640.66,11648.98,11647.765,11629.54,11595.01,11588.3225,11545.83
1598142600,11648.98,11652.51,11618.96,11636.51,11647.765,11629.54,11607.94,11590.835000000001,11549.404999999999
1598143500,11636.51,11650.16,11631.4,11645.21,11647.765,11629.54,11613.61,11590.835000000001,11551.404999999999
1598144400,11645.21,11651.23,11612.57,11634.36,11647.765,11629.54,11601.73,11592.245,11557.06
1598145300,11634.36,11648,11625.37,11647.92,11647.765,11629.54,11618.52,11593.0525,11562.689999999999
1598146200,11647.92,11647.92,11622.46,11630.01,11647.765,11629.54,11616.46,11594.2775,11585.630000000001
1598147100,11630,11655.49,11630,11644.58,11647.765,11629.54,11582.26,11599.087500000001,11585.630000000001
1598148000,11644.59,11652.76,11624.5,11628.27,11647.765,11629.54,11577.78,11599.2325,11585.630000000001
1598148900,11628.27,11629.63,11605.03,11611.94,11633.11,11629.54,11572.88,11596.3125,11586.779999999999
1598149800,11611.94,11624.84,11603.64,11605.79,11629.564999999999,11631.545,11570,11596.3125,11593.404999999999
1598150700,11605.79,11623.52,11603.51,11608.56,11629.5,11634.085,11587.43,11596.3125,11593.404999999999
1598151600,11608.56,11625.79,11596.16,11622.73,11625.825,11640.61,11594.47,11596.3125,11593.404999999999
1598152500,11622.73,11622.73,11593.94,11596.66,11624.715,11641.375,11599.13,11594.710000000001,11593.404999999999
1598153400,11596.65,11600.85,11586.34,11592.12,11620.915,11637.575,11588.24,11599.905,11593.404999999999
1598154300,11592.12,11600,11584.6,11599.18,11620.045,11636.705,11560.58,11618.994999999999,11609.985
1598155200,11599.18,11605,11585.91,11586.76,11618.68,11636.705,11558.27,11621.01,11612
1598156100,11586.76,11597.61,11582.94,11593.4,11606.285,11635.875,11554.61,11623.400000000001,11614.39
1598157000,11593.39,11613.4,11587.16,11613.03,11604.365000000002,11635.875,11528.7,11624.4025,11615.015
1598157900,11613.03,11613.03,11600.1,11600.39,11604.365000000002,11635.875,11534.88,11625.6725,11615.015
1598158800,11600.32,11600.42,11581.36,11591.3,11603.575,11635.085,11535.18,11628.935000000001,11615.015
1598159700,11591.31,11595,11576.24,11586.52,11599.485,11632.525,11526.79,11630.5025,11615.015
1598160600,11586.52,11589.31,11565.29,11568.78,11589.345000000001,11627.05,11526.53,11631.435000000001,11615.14
1598161500,11568.78,11583.83,11555.26,11577.86,11584.33,11622.035,11544.85,11642.3325,11615.14
1598162400,11577.85,11599.96,11565.58,11594.68,11584.33,11622.035,11545.58,11646.067500000001,11615.625
1598163300,11594.67,11599.41,11580.48,11588.96,11584.33,11622.035,11547.93,11638.6525,11617.029999999999
1598164200,11588.96,11600.15,11583.3,11595.01,11584.33,11608.225,11561,11638.6525,11617.029999999999
1598165100,11595.01,11613.63,11595.01,11607.94,11584.445,11605.375,11554.75,11638.6525,11617.2
1598166000,11607.95,11617.69,11603.88,11613.61,11586.475,11605.375,11630.35,11638.6525,11621.29
1598166900,11613.62,11613.62,11598.23,11601.73,11586.475,11605.375,11618.23,11638.6525,11621.29
1598167800,11601.73,11623.5,11599.18,11618.52,11589.380000000001,11605.375,11591.62,11638.6525,11621.29
1598168700,11618.52,11621.71,11610.25,11616.46,11589.380000000001,11605.375,11614.01,11638.6525,11621.29
1598169600,11616.46,11619.88,11582.14,11582.26,11594.54,11605.375,11609.99,11638.6525,11621.29
1598170500,11582.26,11583.91,11567,11577.78,11595.25,11604.01,11603.88,11638.6525,11621.29
1598171400,11577.78,11593.93,11570.36,11572.88,11595.25,11592.445,11620.07,11631.325,11621.29
1598172300,11572.87,11586.99,11567,11570,11595.25,11590.525000000001,11629.22,11630.555,11621.29
1598173200,11570,11593.96,11544,11587.43,11583.75,11584.895,11621.96,11631.7925,11621.29
1598174100,11587.43,11600,11580.88,11594.47,11583.75,11584.895,11632.74,11633.2175,11621.29
1598175000,11594.47,11600.79,11581,11599.13,11583.75,11583.75,11653.25,11633.045,11621.29
1598175900,11599.36,11603.94,11582.25,11588.24,11582.855,11583.75,11632.84,11629.245,11621.29
1598176800,11588.22,11588.27,11557.4,11560.58,11581.939999999999,11583.75,11624.4,11628.375,11621.29
