time,open,high,low,close,Volume,Volume MA
1597370400,11781.19,11800.43,11719.36,11727.08,2017.0002230000116,3157.1351843500493
1597374000,11727.08,11748.68,11653,11723.23,2427.1331990000485,3150.2745715000497
1597377600,11723.24,11759,11694.89,11714.73,1767.1850090000162,2990.708615050048
1597381200,11714.72,11740.88,11681.36,11718.29,2361.2763539999964,2863.7820348500386
1597384800,11718.29,11719.39,11668.96,11668.96,2080.432685000026,2819.333512200038
1597388400,11668.97,11705.34,11634.03,11696.98,3113.244778000001,2752.4006344500312
1597392000,11697.36,11736.79,11663,11681.37,2687.10520099997,2690.472232700028
1597395600,11681.37,11706.92,11662,11698.38,2537.9950160000208,2675.9656864500284
1597399200,11698.37,11758.37,11692.27,11720.72,2279.505575999982,2656.6832997000274
1597402800,11720.51,11774.99,11696.16,11760.81,2399.5168040000112,2660.625341750028
1597406400,11760.81,11762.32,11713.11,11739,2220.7488710000375,2651.4876409500316
1597410000,11739,11739.47,11666.13,11714.02,3061.4751630001747,2717.7414402000395
1597413600,11714.01,11714.01,11635.02,11706.71,2649.7065119999547,2762.5999481500357
1597417200,11706.73,11748.78,11652.27,11740.35,3015.378053999979,2847.835001500035
1597420800,11740.35,11850,11706.43,11809.85,5536.041226000115,2958.84045915004
1597424400,11809.36,11842,11773.14,11787.66,2838.3373130000296,2812.2281299000288
1597428000,11787.65,11833.34,11778.86,11823.24,2323.3365569999787,2683.7688123000203
1597431600,11823.24,11825.09,11766.66,11801.94,2019.2529880000486,2664.5328900500235
1597435200,11801.94,11825.36,11736.16,11762.04,1941.4494500000005,2574.2136713500204
1597438800,11762.04,11780.27,11701,11761.8,1658.3805310000157,2546.72507550002
1597442400,11761.8,11798.05,11720,11776.72,1686.8544889999885,2530.217788800019
1597446000,11776.72,11785.45,11735.51,11760.54,1241.5104260000003,2470.9366501500167
1597449600,11760.55,11980,11759.69,11916.96,5531.614006000114,2659.1581000000215
1597453200,11917.25,11947.42,11861.13,11921.77,2307.60822300003,2656.4746934500236
1597456800,11921.76,11939,11875.6,11889,1652.8510370000074,2635.0956110500224
1597460400,11888.99,11907.41,11852,11888.67,1443.357529999985,2551.6012486500217
1597464000,11888.67,11898.78,11811,11863.65,2434.906548,2538.9913160000233
1597467600,11863.66,11892.18,11835.52,11890.5,1714.2363110000024,2497.8033807500224
1597471200,11890.5,11922,11873.9,11883.93,1890.5629690000656,2478.3562504000265
1597474800,11883.94,11903.59,11845.42,11891.32,2102.5397630000434,2463.507398350028
1597478400,11891.32,11934.55,11815.82,11865.05,2711.7427880000746,2488.0570942000295
1597482000,11865.05,11915.85,11850,11896.07,2228.6343080000624,2446.415051450024
1597485600,11896.36,11919.98,11853.26,11866.25,1848.833899000023,2406.3714208000274
1597489200,11865.96,11899.92,11838.1,11843.02,2025.4723559999613,2356.8761359000264
1597492800,11843.03,11869,11680,11749.33,4641.735722000194,2312.1608607000303
1597496400,11749.33,11821.6,11724.63,11793.02,2507.9615160000876,2295.642070850033
1597500000,11793.02,11826.67,11768.57,11813.74,1465.0709950000107,2252.7287927500347
