time,open,high,low,close,volume
1547308800,3591.11,3599,3587.01,3589.9,992.706557
1547312400,3590,3600,3572.19,3592,1163.4537070000001
1547316000,3592.02,3599.86,3588.7,3591.92,568.264349
1547319600,3591.92,3596,3587,3593.74,437.9448239999999
1547323200,3592.79,3600.62,3585,3594.62,606.4834649999999
1547326800,3594.6,3603.55,3588.43,3591.3,573.886906
1547330400,3590.72,3612.39,3571.14,3580.01,1067.24493
1547334000,3580.43,3590.71,3563.01,3583.13,1181.5731069999995
1547337600,3584.1,3587.01,3566.19,3570.47,885.2259559999998
1547341200,3570.67,3583.58,3564.41,3569.04,862.431207
1547344800,3568.48,3588.24,3568,3588.24,578.5879919999999
1547348400,3588.24,3595,3585.12,3593.24,486.3084529999999
1547352000,3593.27,3598.88,3585.07,3586.49,510.48798
1547355600,3587.21,3591.56,3581.62,3582.26,341.0714760000001
1547359200,3582.28,3592.71,3575.84,3580.94,570.4941810000001
1547362800,3581.93,3586.22,3579.47,3583.68,336.028279
1547366400,3583.68,3587.85,3574,3575.1,303.638042
1547370000,3576.32,3586.97,3571.7,3586,395.8959629999998
1547373600,3586,3588.36,3580.05,3584.09,483.44535999999994
1547377200,3584.91,3590.02,3583.88,3589.38,576.042209
1547380800,3589.28,3611.1,3560.26,3583.36,1503.3175319999998
1547384400,3583.74,3593.08,3583.36,3590.48,576.846502
1547388000,3588.6,3590.47,3570,3572.18,761.6373020000001
1547391600,3570.55,3577.01,3566.12,3575.53,730.5828920000004
1547395200,3576.32,3576.33,3441.3,3462.18,7490.318081999999
1547398800,3464.91,3490.81,3444.28,3479.01,2170.8266029999995
1547402400,3478.56,3486.13,3449.2,3462.75,1671.0605640000006
1547406000,3463,3474.91,3457.18,3465.82,1406.0876080000003
1547409600,3465.03,3475.61,3457.63,3462.32,1083.8864260000003
1547413200,3462.85,3497.98,3454,3479.63,1330.696549
1547416800,3480.14,3482.48,3465,3470.51,614.856849
1547420400,3469.83,3477.56,3457.2,3476.81,715.9834469999998
1547424000,3477.56,3483.07,3467.02,3483.05,707.9054440000001
1547427600,3482.47,3493.78,3479.75,3487.98,1033.6878870000003
1547431200,3488.62,3499.9,3486.05,3496,1075.489977
1547434800,3497.41,3497.41,3487.51,3489.45,594.6794789999999
1547438400,3489.43,3499.65,3487.52,3498.31,589.75883
1547442000,3498.31,3514.8,3495.41,3504.72,1139.3953519999995
1547445600,3503.22,3522.15,3500.08,3518.18,1076.6654979999998
1547449200,3518.82,3527.83,3509,3511.83,1085.856926
1547452800,3511.73,3511.89,3496,3501.85,1082.261649
1547456400,3501.91,3511.21,3495.01,3505.02,881.1208970000001
1547460000,3505.3,3540,3498.55,3502.75,1489.4781539999988
1547463600,3503.8,3505.38,3485.02,3488.28,1148.3996359999999
1547467200,3488.8,3509,3487,3506.25,1434.9147429999994
1547470800,3505.78,3514.19,3495.63,3496.8,1094.6059570000004
1547474400,3496.36,3500,3487,3497,949.617001
1547478000,3497,3647,3495,3630.98,6878.355908000001
1547481600,3630.98,3671.87,3611,3616.65,3464.9572189999994
1547485200,3616.67,3634.99,3616.67,3627.71,1963.0592550000006
1547488800,3627.45,3647.97,3623.21,3628.01,1726.8701170000002
1547492400,3629.32,3644.22,3623.15,3638.08,1107.160541
1547496000,3638.74,3665,3623.45,3629.45,1507.9308589999998
1547499600,3629.46,3629.46,3590,3623.7,1446.1652329999997
1547503200,3623.02,3633.13,3614.36,3622.86,852.109899
1547506800,3623,3635.99,3620,3626.09,904.7647539999998
1547510400,3626.08,3643.27,3624.22,3633.22,886.705047
1547514000,3632.88,3648.42,3631.93,3633.44,901.1426939999996
1547517600,3633.46,3636.97,3623.14,3624.98,833.8655840000001
1547521200,3624.89,3632.07,3623,3629.38,637.583367
1547524800,3629.38,3631.86,3624.83,3627.19,785.077054
1547528400,3627.4,3630.06,3612.48,3619.43,889.9398960000001
1547532000,3619.14,3621.92,3610.12,3616.81,1309.3625259999997
1547535600,3616.03,3629.45,3616.03,3629.09,1118.748268
1547539200,3629.09,3630.43,3616,3624.34,1091.327945
1547542800,3623.64,3625.04,3578.07,3604.06,2603.260356
1547546400,3604.51,3618,3591.02,3610.64,1608.0144510000005
1547550000,3610.56,3617.59,3606.37,3611.39,1017.4789559999999
1547553600,3612.1,3618,3591,3602.6,1149.6221730000002
1547557200,3602.06,3634.75,3600,3624.78,1675.9516069999995
1547560800,3624.96,3626.31,3612.91,3625.09,1501.964222
1547564400,3625.09,3640.77,3580,3596.98,3168.354473
1547568000,3597.31,3610.73,3583.5,3599.01,1557.8439009999995
1547571600,3599.01,3604.5,3592.05,3602.37,1000.566765
1547575200,3602.25,3607.62,3590.5,3596.98,1022.5890690000001
1547578800,3596.96,3605,3589.01,3604.14,811.1187590000002
1547582400,3604.14,3605,3516.62,3532.59,4462.085756
1547586000,3534.42,3550,3524.42,3539.33,1930.7630140000003
1547589600,3539.57,3557.5,3536.05,3543.97,1109.863839
1547593200,3543.97,3565.1,3542.43,3553.06,1064.7677370000001
1547596800,3553.06,3565.47,3543.51,3561.05,1070.8385540000002
1547600400,3561.05,3569.89,3558.34,3568.74,674.116413
1547604000,3567.83,3568.79,3555.38,3564.83,762.1299330000002
1547607600,3564.85,3575.37,3560,3572.5,703.8805319999999
1547611200,3572.55,3583.71,3570.57,3572.95,1437.6779549999997
1547614800,3572.63,3582.53,3570,3578.81,910.571205
1547618400,3578.97,3580.89,3565.5,3569.93,801.8082539999998
1547622000,3570.12,3572,3552.25,3555.07,920.5165910000001
1547625600,3556.04,3599.99,3553.96,3585,1375.8090920000002
1547629200,3585.71,3603.96,3580,3580.63,1719.1667659999996
1547632800,3580.64,3597.62,3580.55,3585.46,712.24549
1547636400,3587.06,3593.85,3583.08,3589.02,510.838845
1547640000,3589.08,3645,3589,3611.94,2079.2651530000003
1547643600,3611.11,3619.4,3574.93,3592.1,2109.110302
1547647200,3592.11,3609.14,3587.11,3598.21,1271.276094
1547650800,3598.23,3612.24,3579,3590.22,1568.3253200000006
1547654400,3591.16,3594.51,3560.2,3581.57,1726.814006999999
1547658000,3582.01,3592,3581.59,3590.5,1005.3810690000001
1547661600,3590.51,3610,3576.81,3588.75,1479.794814
1547665200,3588.46,3592.16,3561.53,3576.4,1264.1323769999995
1547668800,3576.6,3582.81,3561.81,3577.91,897.5986499999999
1547672400,3577.91,3609,3575.31,3584.29,1259.127036
1547676000,3584.29,3586.29,3576.05,3579.89,626.9742800000002
1547679600,3580.18,3598.98,3578,3591.84,592.7812449999999
1547683200,3591.84,3597.29,3582.08,3587.73,968.6260110000003
1547686800,3587.53,3600.51,3582.99,3593.46,778.0574219999997
1547690400,3593.46,3600,3551.16,3557.4,1102.6979399999998
1547694000,3558.57,3576.64,3556.82,3574.59,1455.8013699999997
1547697600,3574.57,3584.7,3568.17,3574.78,729.0265979999998
1547701200,3573.75,3580.84,3568.16,3571.56,634.092423
1547704800,3571.58,3587.95,3568.19,3577.22,787.333087
1547708400,3576.64,3584.36,3570,3584,699.8251009999999
1547712000,3583.73,3585,3574,3581.69,727.9632389999999
1547715600,3580.76,3582.47,3567,3570.18,980.439212
1547719200,3570.56,3588.9,3530.39,3572.71,3209.8787669999992
1547722800,3572.71,3583.37,3569.75,3579.56,1199.3382409999997
1547726400,3580.3,3581.51,3560.84,3570,911.8659430000001
1547730000,3569.34,3575.65,3563.02,3568.2,909.2830510000002
1547733600,3568.2,3579.57,3558.87,3575.83,1096.288328
1547737200,3575.83,3605,3570,3597.62,2046.588773
1547740800,3597.17,3633,3576.12,3581.98,2791.4562930000006
1547744400,3581.98,3600.98,3573,3594.27,1597.2028349999996
1547748000,3594.02,3618.78,3593.75,3605.69,1757.9066180000002
1547751600,3605.97,3613.91,3600.72,3604.95,1122.2459560000002
1547755200,3604.15,3610.59,3598,3605.46,680.8115530000001
1547758800,3606.05,3634.7,3597.5,3603.02,1440.514939
1547762400,3603.02,3611.73,3590,3606.82,704.2911169999998
1547766000,3606.83,3626.79,3604.88,3616.21,1423.9060210000007
1547769600,3613.32,3620,3601.64,3607.42,636.158723
1547773200,3608.18,3613.94,3594.35,3598.52,786.6098079999998
1547776800,3598.52,3610,3598.5,3603.2,561.7517700000001
1547780400,3603.53,3606.08,3597.78,3600.87,498.41407300000003
1547784000,3600.87,3604.8,3585.7,3591.2,610.7647230000003
1547787600,3590.65,3600,3588.98,3598.43,808.2052329999999
1547791200,3598.34,3611.3,3596.3,3607.85,499.40159099999994
1547794800,3608.85,3611.99,3597,3604.01,928.654706
1547798400,3604.01,3619.8,3600,3604.07,1139.1491399999998
1547802000,3604.33,3613,3601.5,3611.15,1062.679271
1547805600,3611.15,3616.12,3590,3594.97,2424.3780499999984
1547809200,3594.97,3600.67,3590,3599.01,985.9380769999999
1547812800,3599.08,3599.83,3576.68,3589.3,1316.5178530000005
1547816400,3589.53,3595.9,3583.4,3587.05,760.464549
1547820000,3587.51,3593.56,3577.41,3590.63,1091.5841950000001
1547823600,3591.91,3611.95,3590,3610.68,1601.614423
1547827200,3611.09,3612.07,3583.43,3590.75,1804.569351
1547830800,3590.23,3597.61,3565.75,3577.44,1216.4378769999998
1547834400,3577.44,3587.49,3575.23,3582.23,794.6876270000001
1547838000,3582.56,3589,3566.1,3587.91,678.5896429999999
1547841600,3588,3599.25,3585.98,3593.95,675.6153270000003
