time,open,high,low,close
1596343500,11020.69,11265,10930.17,11169.84
1596344400,11170.8,11410.4,11111.88,11330.32
1596345300,11332.68,11352.18,11130.5,11245.36
1596346200,11245.03,11354.75,11236,11293.88
1596347100,11293.89,11335,11209.41,11252.14
1596348000,11251.76,11319.37,11202,11290.37
1596348900,11291.83,11317,11247.56,11305.72
1596349800,11305.99,11320,11271.38,11272.46
1596350700,11272.49,11300,11245.86,11293.33
1596351600,11293.33,11337.35,11254.36,11333.36
1596352500,11333.55,11371.51,11309.04,11364.5
1596353400,11364.65,11369.38,11321.62,11331.43
1596354300,11331.81,11369.93,11323.16,11323.78
1596355200,11325.95,11342.83,11274.36,11328.33
1596356100,11328.33,11339.98,11290,11295.84
1596357000,11296.03,11324.99,11277.96,11295.45
1596357900,11296.45,11310.85,11263.13,11281.8
1596358800,11281.64,11303.77,11267.76,11284.35
1596359700,11284.35,11305.52,11227.24,11299.41
1596360600,11299.42,11310,11276.32,11291.92
1596361500,11291.93,11315,11280,11306.81
1596362400,11305.41,11319.95,11261.24,11272.39
1596363300,11272.39,11285,11242.38,11245.38
1596364200,11244.75,11261.9,11204.02,11219
1596365100,11219,11280,11122.01,11251.3
1596366000,11251.31,11271.79,11237.29,11250.19
1596366900,11250.23,11250.84,11021.49,11137.63
1596367800,11137.63,11171.72,10931,11060
1596368700,11060.01,11119.01,10934.03,11109.86
1596369600,11105.54,11173.76,11031.84,11155.79
1596370500,11155.78,11159.59,11055.97,11079.48
1596371400,11079.48,11115.05,11000,11070.14
1596372300,11070,11093.99,10960,10996.25
1596373200,10993.39,11072.52,10979.91,11064.99
1596374100,11065,11107.97,11060,11083.38
1596375000,11083.37,11133.47,11065.55,11108
1596375900,11108,11127.71,11084.79,11109.44
1596376800,11109.43,11109.44,11059.84,11094.28
1596377700,11094.46,11138.46,11080,11136.53
1596378600,11136.54,11177.9,11121.7,11176.61
1596379500,11176.61,11179.1,11105.16,11137.37
1596380400,11137.44,11152.46,11127.11,11133.19
1596381300,11133.18,11145.18,11110.9,11145.03
1596382200,11145.06,11152.41,11094.99,11096.7
1596383100,11096.7,11132.33,11072.89,11083.63
1596384000,11083.62,11146.88,11064.01,11121.28
1596384900,11120.98,11166.81,11092.25,11149.82
1596385800,11149.82,11186.76,11136.94,11184.66
1596386700,11184.66,11212.89,11154.18,11201.24
1596387600,11201.86,11220,11170,11215.58
1596388500,11215.58,11250,11182.32,11232.16
1596389400,11232.29,11250,11206.16,11227.81
1596390300,11227.82,11283.41,11213.68,11263.07
1596391200,11263.07,11267.88,11226.03,11254.79
1596392100,11254.79,11259.91,11228.45,11247.02
1596393000,11247.01,11268.92,11198.48,11206.15
1596393900,11206.16,11245.12,11205.44,11229.05
1596394800,11228.95,11266.12,11222.45,11230.15
1596395700,11230.14,11240.13,11202,11228.03
1596396600,11227.74,11233.55,11117.65,11170.55
1596397500,11170.55,11204,11160,11202.8
1596398400,11202.8,11219.48,11171.05,11197.94
1596399300,11197.93,11200.46,11118.52,11133.91
1596400200,11133.91,11159.84,11105,11140
1596401100,11140,11145.49,11080.6,11087.98
1596402000,11087.98,11149.46,11087.78,11142.39
1596402900,11142.33,11155.25,11118.7,11123.83
1596403800,11123.73,11143.71,11000,11114.79
1596404700,11115.01,11150,11086.01,11132.76
1596405600,11132.76,11180,11132.76,11175.54
1596406500,11175.54,11187.01,11137.97,11175.06
1596407400,11175.07,11175.22,11130.01,11133.25
1596408300,11133.26,11141.12,11104,11118.32
1596409200,11118.32,11139.24,11095.87,11118.89
1596410100,11118.46,11133.33,11082.27,11122.31
1596411000,11122.85,11133.82,11074.35,11100.54
1596411900,11100.5,11100.84,11032.25,11071.35
1596412800,11071.36,11085.47,10936,11056.16
